,player_id,season,apps,mins,goals,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,Current Team,Height,birth_date,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,avg_rating_10_games
0,367185,2022/2023,36(1),3135,13,6,0,2.3,80.9,7.37,1.6,1.2,0.1,0.4,0.6,7.37,2.0,1.6,1.7,0.2,1.5,2.1,32.8,1.0,0.9,Bukayo Saka,Arsenal,178cm,05-09-2001,8.66,6.27,7.38,6.06,9.22,6.01,7.48,7.14,6.95,6.45,7.162000000000001
1,367185,2021/2022,36(2),2996,11,6,0,2.6,79.5,7.06,1.1,1.0,0.0,0.6,0.7,7.06,1.8,1.1,1.6,0.4,1.2,2.2,27.9,0.8,0.4,Bukayo Saka,Arsenal,178cm,05-09-2001,8.66,6.27,7.38,6.06,9.22,6.01,7.48,7.14,6.95,6.45,7.162000000000001
2,367185,2020/2021,30(2),2562,5,1,0,1.9,81.8,6.88,0.8,0.9,0.0,0.6,0.9,6.88,1.2,1.4,2.0,0.5,1.3,2.3,30.6,1.0,0.4,Bukayo Saka,Arsenal,178cm,05-09-2001,8.66,6.27,7.38,6.06,9.22,6.01,7.48,7.14,6.95,6.45,7.162000000000001
3,367185,2019/2020,19(7),1755,1,6,0,0.5,81.5,6.65,1.4,0.8,0.3,0.4,0.7,6.65,0.8,1.2,1.1,0.4,0.8,1.6,26.0,0.3,0.7,Bukayo Saka,Arsenal,178cm,05-09-2001,8.66,6.27,7.38,6.06,9.22,6.01,7.48,7.14,6.95,6.45,7.162000000000001
4,367185,2018/2019,0(1),7,0,0,0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bukayo Saka,Arsenal,178cm,05-09-2001,8.66,6.27,7.38,6.06,9.22,6.01,7.48,7.14,6.95,6.45,7.162000000000001
5,279379,2022/2023,23(2),1985,10,6,0,3.0,80.9,7.35,1.2,1.7,0.0,0.4,0.6,7.35,1.2,1.8,2.2,0.6,2.6,3.5,25.4,0.0,0.6,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
6,279379,2021/2022,21(7),1880,8,1,0,2.3,84.8,7.19,0.6,0.9,0.0,0.2,0.7,7.19,1.4,1.6,0.9,0.4,1.0,2.4,26.4,0.1,0.4,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
7,279379,2020/2021,22(7),2060,9,2,0,1.9,85.0,7.11,0.6,1.0,0.0,0.2,0.6,7.11,1.1,1.7,1.6,0.6,1.3,2.0,25.2,0.1,0.4,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
8,279379,2019/2020,21(13),2026,14,3,0,3.0,86.5,7.26,0.5,0.8,0.0,0.2,0.5,7.26,0.9,1.3,0.9,0.6,1.0,1.4,17.9,0.1,0.6,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
9,279379,2018/2019,8(21),1022,7,1,0,1.5,82.6,6.64,0.3,0.4,0.0,0.1,0.2,6.64,0.7,0.8,0.6,0.5,1.0,1.1,12.3,0.0,0.1,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
10,279379,2017/2018,19(10),1673,13,6,0,1.9,79.7,7.05,0.8,1.0,0.0,0.2,0.7,7.05,0.7,0.8,0.6,0.5,0.9,1.5,20.4,0.0,0.4,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
11,279379,2016/2017,8(2),651,7,2,0,2.4,81.0,7.49,0.5,1.1,0.0,0.1,0.2,7.49,1.0,1.2,1.7,0.9,1.2,1.3,24.2,0.1,0.6,Gabriel Jesus,Arsenal,175cm,03-04-1997,6.04,8.9,7.63,7.45,7.21,6.07,7.53,6.97,6.38,6.56,7.074
